,title,review,stars,verified,helpful,date,amazon_id,id
1,Absolute trash.,"This product is capitalizing on the irrational fears of individuals who think that their WiFi router, among other things, can actually harm them. Standing outside in direct sunlight is far more dangerous (by comparison) than being inside a home with a router. This WILL destroy the performance of your device and basically render it useless as a WiFi router. If wireless signals concern you that badly, just replace your WiFi router with a regular router/modem and hard-wire all of your devices.",1,0,43,2020-08-24,B0814BYHV6,1
2,Red to Green,Well worth the price. I bought a meter to confirm the amount of RF/EMF before and after and it went from red and yellows to all green. My 2bdrm condo is about 1400 sq ft and my router was shooting harmful stuff through the wall in my cable modem area into my bedroom. My sleeping is better now but I'm still monitoring for other positive changes. My signal and speed seems about the same for my video streaming services....i dont do a lot of online gaming.,5,1,16,2020-05-19,B0814BYHV6,2
3,A worthy investment for sure!,"I got metal pencil holders for our phones which is way more cost effective, so I do think this is pricey relative to that but it<U+0092>s a worthy investment. I do wish that the hole for the wires to route through were protected or smooth, it<U+0092>s a little sharp to stick your fingers into it.",5,1,7,2020-02-05,B0814BYHV6,3
4,Can't tell a difference,I bought after reading CIRS/mold toxcity can make you sensitive to EMFs. Read reviews and stated it does reduce EMFs. I honestly can't tell a diff other than our signal is weaker. I don't have a way to test it so I can't confirm if it does or doesn't work. I just haven't noticed any diff. Still turning router off at night.,3,1,4,2020-06-26,B0814BYHV6,4
5,"Liked the idea, unable to keep it","The idea was great, and we wanted to use it to help block the EMF. However, the router died the day we put it in the box. Internet provider said it was just at end of life, then gave us a new one that was a completely different size, so we were unable to keep this one.",4,1,3,2020-02-06,B0814BYHV6,5
6,Anything that blocks radiation works for me!,I feel better knowing that harmful radiation is blocked from my family & pets,5,1,3,2020-02-03,B0814BYHV6,6
7,Not safe to Handle,I immediately got two puncture wounds from fine wires sticking out of the edges of the top when I tried to remove for the installation of the modem. I can<U+0092>t speak to how good the product is and how would I know as I cannot measure the radiation any better than you. The wire work is terrible. Don<U+0092>t handle without gloves.,2,1,2,2020-01-27,B0814BYHV6,7
8,Not sure,Reduced emf. Not the easiest to get cables into,3,1,0,2020-02-06,B0814BYHV6,8
9,Hope it works,I don<U+0092>t have a way to test it and I hope it works. Looks good and durable but it does have some rough edges so be careful. Lid is removable and fits snugly.,4,1,0,2020-08-29,B0814BYHV6,9
10,Easy to use and a comfort to know we are living in a safer environment,Very easy to install.,5,1,0,2020-05-20,B0814BYHV6,10
11,EMF meter tested and works,"Used with an EMF METER, significantly lowered the EMF signals.",5,1,0,2020-11-13,B0814BYHV6,11
12,Meh,"It was ok, it was too small to place the router inside. I ended up returning it... looking for a bigger one.",3,1,0,2020-01-23,B0814BYHV6,12
13,Great emf blocke r,"It works great as far as fit for the newest spectrum model
It hasn<U+0092>t impaired our signal but we are only in a small two bedroom mountain house",5,1,0,2020-11-02,B0814BYHV6,13
14,Nice quality,Matches description,5,1,0,2020-09-05,B0814BYHV6,14
15,Great product and quick delivery,"Speedy delivery, sleek/quality construction and easy to install.",5,1,0,2020-12-02,B0814BYHV6,15
16,WiFi blocker,The sides that are welded together are a bit sharp and not super appealing to the eye. Other than that I think it will get the job done!,4,1,0,2020-01-30,B0814BYHV6,16
17,Effective and high quality,Blocks the radiation without compromising the quality of our WiFi. The unit is assembled and ready to use out of the box.,5,1,0,2020-02-05,B0814BYHV6,17
18,Not for us.,This blocked our wifi to devices. Had to return.,2,1,0,2020-10-27,B0814BYHV6,18
19,Great protection but size is off,The Cage Guard is not large enough for the Xfinity Large WIFI Router I have. It's about an inch off Height wise.,2,1,0,2020-12-04,B0814BYHV6,19
